Bairros_SP,Bairros_Fortaleza,Bairros_RJ,Causa_Afastamento_1,Causa_Afastamento_2,Causa_Afastamento_3,Motivo_Desligamento,CBO_Ocupacao_2002,CNAE_2_0_Classe,CNAE_95_Classe,Distritos_SP,Vinculo_Ativo_31_12,Faixa_Etaria,Faixa_Hora_Contrat,Faixa_Remun_Dezem__SM_,Faixa_Remun_Media__SM_,Faixa_Tempo_Emprego,Escolaridade_apos_2005,Qtd_Hora_Contr,Idade,Ind_CEI_Vinculado,Ind_Simples,Mes_Admissao,Mes_Desligamento,Mun_Trab,Municipio,Nacionalidade,Natureza_Juridica,Ind_Portador_Defic,Qtd_Dias_Afastamento,Raca_Cor,Regioes_Adm_DF,Vl_Remun_Dezembro_Nom,Vl_Remun_Dezembro__SM_,Vl_Remun_Media_Nom,Vl_Remun_Media__SM_,CNAE_2_0_Subclasse,Sexo_Trabalhador,Tamanho_Estabelecimento,Tempo_Emprego,Tipo_Admissao,Tipo_Estab,Tipo_Estab_1,Tipo_Defic,Tipo_Vinculo,IBGE_Subsetor,Vl_Rem_Janeiro_SC,Vl_Rem_Fevereiro_SC,Vl_Rem_Marco_SC,Vl_Rem_Abril_SC,Vl_Rem_Maio_SC,Vl_Rem_Junho_SC,Vl_Rem_Julho_SC,Vl_Rem_Agosto_SC,Vl_Rem_Setembro_SC,Vl_Rem_Outubro_SC,Vl_Rem_Novembro_SC,Ano_Chegada_Brasil,Ind_Trab_Intermitente,Ind_Trab_Parcial,DIV_CNAE_20
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,47415,52442,"           {ñ class}",1,5,6,4,3,2,7,44,32,0,1,7,{ñ,110030,110030,10,2305,0,0,9,0,"0000002075,83","000001,88","0000002018,37","000001,83",4741500,1,5,"     5,9",2,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000002081,61","000002094,05","000002081,93","000002085,50","000001691,35",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,47415,52442,"           {ñ class}",1,5,6,5,4,5,7,44,35,0,1,0,{ñ,110030,110030,10,2305,0,0,8,0,"0000002422,61","000002,20","0000002263,97","000002,05",4741500,1,5,"    24,9",0,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000000000,00","000000000,00","000002241,25","000002238,57","000002244,19","000002250,43","000002237,39","000002241,25","000002236,11",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,49213,60232,"           {ñ class}",1,4,6,3,2,1,7,44,25,0,0,12,{ñ,110020,110020,10,2062,0,0,9,0,"0000001398,31","000001,27","0000001398,31","000001,27",4921301,1,7,"     0,9",1,1,"CNPJ                ",0,10,20,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45111,50105,"           {ñ class}",1,5,6,4,2,4,7,44,37,0,1,0,{ñ,0,110012,10,2305,0,0,8,0,"0000001698,47","000001,54","0000001629,94","000001,47",4511101,1,4,"    13,4",0,1,"CNPJ                ",0,10,16,"000001672,20","000001635,49","000001674,22","000001667,15","000001454,89","000001729,71","000001489,54","000001653,34","000001630,75","000001612,51","000001641,03",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45307,50300,"           {ñ class}",1,5,6,3,2,6,7,44,31,0,1,0,{ñ,0,110009,10,2135,0,0,8,0,"0000001443,60","000001,31","0000001480,31","000001,34",4530703,1,2,"    57,9",0,1,"CNPJ                ",0,10,16,"000001443,60","000001417,89","000001423,90","000001456,43","000001889,40","000001461,31","000001433,75","000001448,68","000001445,30","000001454,21","000001445,70",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",40,99,99,0,991305,45200,50202,"           {ñ class}",1,7,6,3,2,4,7,44,61,0,1,0,{ñ,0,110020,10,2305,0,74,8,0,"0000001490,99","000001,35","0000001445,47","000001,30",4520001,1,5,"    14,2",0,1,"CNPJ                ",0,10,16,"000000014,40","000000014,40","000000014,40","000001616,71","000001554,72","000001406,22","000001234,13","000000014,40","000000000,00","000000000,00","000000013,92",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45200,50202,"           {ñ class}",1,8,6,3,2,4,7,44,71,0,1,0,{ñ,0,110020,10,2305,0,0,6,0,"0000001378,25","000001,25","0000001390,79","000001,26",4520001,1,5,"    17,0",0,1,"CNPJ                ",0,10,16,"000001417,42","000001282,33","000001380,87","000001445,59","000001491,31","000001422,71","000001343,64","000001399,41","000001409,77","000001423,68","000001294,55",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45111,50105,"           {ñ class}",1,5,6,7,4,8,7,44,31,0,0,0,{ñ,110020,110020,10,2062,0,0,8,0,"0000004942,94","000004,49","0000003308,98","000003,00",4511101,1,7,"   164,2",0,1,"CNPJ                ",0,10,16,"000002369,65","000002369,65","000002369,65","000002369,65","000003133,19","000002395,99","000002369,65","000004535,83","000003941,29","000004602,27","000004308,03",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45307,50300,"           {ñ class}",1,5,6,4,2,5,7,44,30,0,1,0,{ñ,0,110032,10,2305,0,0,9,0,"0000001928,21","000001,75","0000001495,55","000001,35",4530703,1,3,"    32,4",0,1,"CNPJ                ",0,10,16,"000001413,60","000001413,60","000001413,60","000001413,60","000001413,60","000001413,60","000001413,60","000001413,60","000001882,40","000001413,60","000001413,60",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45200,50202,"           {ñ class}",1,6,6,5,4,3,7,44,40,0,1,1,{ñ,110020,110020,10,2062,0,0,9,0,"0000002544,52","000002,31","0000002698,73","000002,45",4520002,1,4,"    11,8",2,1,"CNPJ                ",0,10,16,"000002365,16","000000027,20","000000027,20","000002967,28","000000027,20","000002747,82","000000027,20","000000027,20","000000027,20","000000027,20","000000027,20",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45307,50300,"           {ñ class}",1,4,6,5,3,3,7,44,28,0,1,3,{ñ,0,110002,10,2062,0,0,8,0,"0000002528,70","000002,29","0000002077,57","000001,88",4530703,1,3,"     9,8",2,1,"CNPJ                ",0,10,16,"000000000,00","000000000,00","000001843,56","000002027,95","000002048,40","000002068,07","000002065,51","000002048,40","000002048,40","000002048,40","000002048,40",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45200,50202,"           {ñ class}",1,5,6,5,4,4,7,44,38,0,1,0,{ñ,0,110030,10,2135,0,0,9,0,"0000002502,79","000002,27","0000002809,67","000002,55",4520001,1,6,"    21,8",0,1,"CNPJ                ",0,10,16,"000003830,97","000002820,18","000002910,32","000003718,50","000001814,70","000001734,38","000001817,36","000001871,68","000003304,64","000004598,92","000002791,68",0,0,0,45
